[02:00:36] [INFO] received Windows console close event; shutting log-core down
[16:25:37] [INFO] received Windows console close event; shutting log-core down
[16:48:21] [INFO] received Windows console close event; shutting log-core down
[16:51:45] [INFO] received Windows console close event; shutting log-core down
[16:55:15] [INFO] received Windows console close event; shutting log-core down
[16:59:16] [INFO] received Windows console close event; shutting log-core down
[17:17:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:17:55] [INFO] received Windows console close event; shutting log-core down
[17:35:52] [INFO] received Windows console close event; shutting log-core down
[18:21:56] [INFO] received Windows console close event; shutting log-core down
[18:30:31] [INFO] received Windows console close event; shutting log-core down
[18:35:22] [INFO] received Windows console close event; shutting log-core down
[21:43:36] [INFO] received Windows console close event; shutting log-core down
[22:09:44] [INFO] received Windows console close event; shutting log-core down
[22:18:03] [INFO] received Windows console close event; shutting log-core down
[22:18:55] [INFO] received Windows console close event; shutting log-core down
[22:20:58] [INFO] received Windows console close event; shutting log-core down
[22:21:40] [INFO] received Windows console close event; shutting log-core down
[22:39:02] [INFO] received Windows console close event; shutting log-core down
[22:42:24] [INFO] received Windows console close event; shutting log-core down
[22:43:31] [INFO] received Windows console close event; shutting log-core down
[22:45:23] [INFO] received Windows console close event; shutting log-core down
[22:49:48] [INFO] received Windows console close event; shutting log-core down
[00:17:59] [INFO] received Windows console close event; shutting log-core down
[00:22:37] [INFO] received Windows console close event; shutting log-core down
[00:24:47] [INFO] received Windows console close event; shutting log-core down
[00:45:52] [INFO] received Windows console close event; shutting log-core down
[20:55:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:39:38] [INFO] received Windows console close event; shutting log-core down
[21:46:22] [INFO] received Windows console close event; shutting log-core down
[21:50:54] [INFO] received Windows console close event; shutting log-core down
[21:54:29] [INFO] received Windows console close event; shutting log-core down
[21:55:58] [INFO] received Windows console close event; shutting log-core down
[22:07:52] [INFO] received Windows console close event; shutting log-core down
[22:10:23] [INFO] received Windows console close event; shutting log-core down
[22:11:04] [INFO] received Windows console close event; shutting log-core down
[22:14:08] [INFO] received Windows console close event; shutting log-core down
[22:14:51] [INFO] received Windows console close event; shutting log-core down
[22:30:16] [INFO] received Windows console close event; shutting log-core down
[22:31:46] [INFO] received Windows console close event; shutting log-core down
[22:39:38] [INFO] received Windows console close event; shutting log-core down
[22:43:57] [INFO] received Windows console close event; shutting log-core down
[22:48:50] [INFO] received Windows console close event; shutting log-core down
[23:28:48] [INFO] received Windows console close event; shutting log-core down
[00:08:14] [INFO] received Windows console close event; shutting log-core down
[00:10:07] [INFO] received Windows console close event; shutting log-core down
[00:10:16] [INFO] received Windows console close event; shutting log-core down
[00:11:55] [INFO] received Windows console close event; shutting log-core down
[00:35:30] [INFO] received Windows console close event; shutting log-core down
[01:05:50] [INFO] received Windows console close event; shutting log-core down
[01:19:34] [INFO] received Windows console close event; shutting log-core down
[02:05:37] [INFO] received Windows console close event; shutting log-core down
[02:47:20] [INFO] received Windows console close event; shutting log-core down
[02:49:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[04:02:38] [INFO] received Windows console close event; shutting log-core down
[08:13:32] [INFO] received Windows console close event; shutting log-core down
[10:20:48] [INFO] received Windows console close event; shutting log-core down
[10:38:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16:56:58] [INFO] received Windows console close event; shutting log-core down
[17:01:10] [INFO] received Windows console close event; shutting log-core down
[18:45:58] [INFO] received Windows console close event; shutting log-core down
[08:33:54] [ERROR] signal 11 (SIGSEGV) catched; shutting log-core down (errno: 0, signal code: 1, exit status: 184367916)
[09:18:01] [INFO] received Windows console close event; shutting log-core down
[19:52:22] [INFO] received Windows console close event; shutting log-core down
[19:45:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:45:26] [INFO] received Windows console close event; shutting log-core down
[17:58:23] [INFO] received Windows console close event; shutting log-core down
[18:01:38] [INFO] received Windows console close event; shutting log-core down
[18:28:33] [INFO] received Windows console close event; shutting log-core down
[18:31:08] [INFO] received Windows console close event; shutting log-core down
[18:40:38] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:35:06] [INFO] received Windows console close event; shutting log-core down
[23:34:08] [INFO] received Windows console close event; shutting log-core down
[23:48:41] [INFO] received Windows console close event; shutting log-core down
[23:51:21] [INFO] received Windows console close event; shutting log-core down
[00:00:30] [INFO] received Windows console close event; shutting log-core down
[00:01:34] [INFO] received Windows console close event; shutting log-core down
[19:00:01] [INFO] received Windows console close event; shutting log-core down
[14:43:13] [INFO] received Windows console close event; shutting log-core down
[01:08:14] [INFO] received Windows console close event; shutting log-core down
[14:25:20] [INFO] received Windows console close event; shutting log-core down
[14:27:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[14:28:05] [INFO] received Windows console close event; shutting log-core down
[03:01:20] [INFO] received Windows console close event; shutting log-core down
[03:04:55] [INFO] received Windows console close event; shutting log-core down
[22:42:55] [INFO] received Windows console close event; shutting log-core down
[22:43:30] [INFO] received Windows console close event; shutting log-core down
[22:45:10] [INFO] received Windows console close event; shutting log-core down
[22:48:38] [INFO] received Windows console close event; shutting log-core down
[22:50:20] [INFO] received Windows console close event; shutting log-core down
[23:01:15] [INFO] received Windows console close event; shutting log-core down
[23:04:03] [INFO] received Windows console close event; shutting log-core down
[23:12:12] [INFO] received Windows console close event; shutting log-core down
[23:22:23] [INFO] received Windows console close event; shutting log-core down
[23:52:20] [INFO] received Windows console close event; shutting log-core down
[00:00:53] [INFO] received Windows console close event; shutting log-core down
[00:02:05] [INFO] received Windows console close event; shutting log-core down
[00:02:16] [INFO] received Windows console close event; shutting log-core down
[00:05:36] [INFO] received Windows console close event; shutting log-core down
[00:29:24] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[01:10:02] [INFO] received Windows console close event; shutting log-core down
[20:00:17] [INFO] received Windows console close event; shutting log-core down
[20:01:26] [INFO] received Windows console close event; shutting log-core down
[20:02:40] [INFO] received Windows console close event; shutting log-core down
[20:03:30] [INFO] received Windows console close event; shutting log-core down
[20:05:27] [INFO] received Windows console close event; shutting log-core down
[20:16:36] [INFO] received Windows console close event; shutting log-core down
[21:43:05] [INFO] received Windows console close event; shutting log-core down
[23:19:09] [INFO] received Windows console close event; shutting log-core down
[00:42:59] [INFO] received Windows console close event; shutting log-core down
[00:43:25] [INFO] received Windows console close event; shutting log-core down
[01:57:02] [INFO] received Windows console close event; shutting log-core down
[02:09:54] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02:09:56] [INFO] received Windows console close event; shutting log-core down
[03:12:26] [INFO] received Windows console close event; shutting log-core down
[03:17:48] [INFO] received Windows console close event; shutting log-core down
[03:18:52] [INFO] received Windows console close event; shutting log-core down
[03:32:36] [INFO] received Windows console close event; shutting log-core down
[03:34:40] [INFO] received Windows console close event; shutting log-core down
[03:43:21] [INFO] received Windows console close event; shutting log-core down
[16:59:32] [INFO] received Windows console close event; shutting log-core down
[17:00:26] [INFO] received Windows console close event; shutting log-core down
[17:03:55] [INFO] received Windows console close event; shutting log-core down
[17:22:40] [INFO] received Windows console close event; shutting log-core down
[17:28:11] [INFO] received Windows console close event; shutting log-core down
[17:33:41] [INFO] received Windows console close event; shutting log-core down
[17:35:06] [INFO] received Windows console close event; shutting log-core down
[17:42:06] [INFO] received Windows console close event; shutting log-core down
[17:43:58] [INFO] received Windows console close event; shutting log-core down
[17:47:22] [INFO] received Windows console close event; shutting log-core down
[17:56:44] [INFO] received Windows console close event; shutting log-core down
[18:08:26] [INFO] received Windows console close event; shutting log-core down
[18:09:23] [INFO] received Windows console close event; shutting log-core down
[18:17:37] [INFO] received Windows console close event; shutting log-core down
[19:13:22] [INFO] received Windows console close event; shutting log-core down
[19:41:11] [INFO] received Windows console close event; shutting log-core down
[19:42:15] [INFO] received Windows console close event; shutting log-core down
[19:45:11] [INFO] received Windows console close event; shutting log-core down
[23:56:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[00:03:53] [INFO] received Windows console close event; shutting log-core down
[01:59:48] [INFO] received Windows console close event; shutting log-core down
[02:02:07] [INFO] received Windows console close event; shutting log-core down
[02:05:26] [INFO] received Windows console close event; shutting log-core down
[02:20:49] [INFO] received Windows console close event; shutting log-core down
[02:25:35] [INFO] received Windows console close event; shutting log-core down
[02:35:18] [INFO] received Windows console close event; shutting log-core down
[02:35:55] [INFO] received Windows console close event; shutting log-core down
[03:49:35] [INFO] received Windows console close event; shutting log-core down
[03:52:36] [INFO] received Windows console close event; shutting log-core down
[16:51:09] [INFO] received Windows console close event; shutting log-core down
[16:53:17] [INFO] received Windows console close event; shutting log-core down
[16:55:52] [INFO] received Windows console close event; shutting log-core down
[16:58:18] [INFO] received Windows console close event; shutting log-core down
[17:08:36] [INFO] received Windows console close event; shutting log-core down
[17:08:38] [INFO] received Windows console close event; shutting log-core down
[17:12:18] [INFO] received Windows console close event; shutting log-core down
[17:17:36] [INFO] received Windows console close event; shutting log-core down
[17:25:14] [INFO] received Windows console close event; shutting log-core down
[17:32:05] [INFO] received Windows console close event; shutting log-core down
[22:36:36] [INFO] received Windows console close event; shutting log-core down
[00:05:57] [INFO] received Windows console close event; shutting log-core down
[00:10:37] [INFO] received Windows console close event; shutting log-core down
[00:12:24] [INFO] received Windows console close event; shutting log-core down
[00:16:12] [INFO] received Windows console close event; shutting log-core down
[00:19:29] [INFO] received Windows console close event; shutting log-core down
[00:21:30] [INFO] received Windows console close event; shutting log-core down
[00:29:22] [INFO] received Windows console close event; shutting log-core down
[00:30:54] [INFO] received Windows console close event; shutting log-core down
[12:33:09] [INFO] received Windows console close event; shutting log-core down
[19:02:20] [INFO] received Windows console close event; shutting log-core down
[18:48:12] [INFO] received Windows console close event; shutting log-core down
[18:54:19] [INFO] received Windows console close event; shutting log-core down
[18:59:59] [INFO] received Windows console close event; shutting log-core down
[13:21:47] [INFO] received Windows console close event; shutting log-core down
[15:28:27] [INFO] received Windows console close event; shutting log-core down
[15:32:25] [INFO] received Windows console close event; shutting log-core down
[15:37:26] [INFO] received Windows console close event; shutting log-core down
[15:42:36] [INFO] received Windows console close event; shutting log-core down
[15:50:40] [INFO] received Windows console close event; shutting log-core down
[16:08:09] [INFO] received Windows console close event; shutting log-core down
[16:18:12] [INFO] received Windows console close event; shutting log-core down
[16:22:42] [INFO] received Windows console close event; shutting log-core down
[23:21:24] [INFO] received Windows console close event; shutting log-core down
[23:45:51] [INFO] received Windows console close event; shutting log-core down
[23:52:00] [INFO] received Windows console close event; shutting log-core down
[00:08:37] [INFO] received Windows console close event; shutting log-core down
[00:16:25] [INFO] received Windows console close event; shutting log-core down
[00:16:40] [INFO] received Windows console close event; shutting log-core down
[01:21:22] [INFO] received Windows console close event; shutting log-core down
[01:54:02] [INFO] received Windows console close event; shutting log-core down
[02:06:04] [INFO] received Windows console close event; shutting log-core down
[02:09:51] [INFO] received Windows console close event; shutting log-core down
